Datetime,Open,High,Low,Close,Volume,Rsi,Tkr Buy,Tkr Sell,Open Interest,Number Of Trades,Taker Buy Volume,TT LongShortRatio Positions 5m,TT LongAccount Ratio Positions 5m,TT ShortAccount Positions 5m,TT LongShortRatio Accounts 5m,TT LongAccount Accounts 5m,TT ShortAccount Accounts 5m,Buy Sell Ratio 5m,Buy Vol 5m,Sell Vol 5m,"Mkr plus 0,005","Mkr plus 0,01","Mkr plus 0,015","Mkr plus 0,020","Mkr plus 0,025","Mkr plus 0,030","Mkr plus 0,035","Mkr plus 0,040","Mkr plus 0,045","Mkr plus 0,050","Mkr plus 0,075","Mkr plus 0,1","Mkr plus 0,125","Mkr plus 0,150","Mkr plus 0,175","Mkr plus 0,200","Mkr plus 0,225","Mkr minus 0,005","Mkr minus 0,01","Mkr minus 0,015","Mkr minus 0,020","Mkr minus 0,025","Mkr minus 0,030","Mkr minus 0,035","Mkr minus 0,040","Mkr minus 0,045","Mkr minus 0,050","Mkr minus 0,075","Mkr minus 0,1","Mkr minus 0,125","Mkr minus 0,150","Mkr minus 0,175","Mkr minus 0,200","Mkr minus 0,225"
02/20/2024 17:00:00,51428.90,51429.00,51012.80,51192.00,1507.573,20.69,125.436,319.023,89327.020,17993,404.421,1.2880,0.5629,0.4371,0.9037,0.4747,0.5253,1.1277,607.1830,538.4160,199.469,1.253,14.087,4.130,2.489,3.514,0.476,4.817,7.460,10.261,29.265,74.031,52.607,34.237,30.728,14.933,18.021,0,0,0,0,0,0,0,0,0,0,0,0,0,3.816,6.203,7.385,21.804
02/20/2024 17:01:00,51191.80,51331.50,51074.60,51326.80,1205.925,35.16,684.516,397.458,88893.641,24122,1708.433,1.2855,0.5625,0.4375,0.9037,0.4747,0.5253,1.1277,607.1830,538.4160,28.560,2.646,6.372,19.410,33.009,25.810,16.268,22.700,10.061,6.888,62.997,31.274,78.039,63.891,64.531,53.900,52.951,0,0,0.713,0.823,1.070,1.608,6.158,2.335,4.162,10.484,51.994,34.300,32.973,47.988,46.831,53.655,48.823
02/20/2024 17:02:00,51327.40,51366.80,51289.60,51313.60,269.294,34.50,131.679,110.910,88930.726,9597,525.443,1.2855,0.5625,0.4375,0.9128,0.4772,0.5228,1.1277,607.1830,538.4160,3.813,1.232,4.892,4.305,4.372,8.441,7.124,5.100,19.843,8.499,57.235,32.247,57.073,89.687,36.480,82.540,70.561,8.727,5.900,7.801,11.036,10.708,13.361,19.100,21.066,10.480,25.117,62.782,44.913,53.186,94.499,82.000,36.459,68.050
02/20/2024 17:03:00,51313.60,51349.70,51264.00,51349.60,178.732,37.94,85.907,82.707,89064.341,6642,273.943,1.2855,0.5625,0.4375,0.9128,0.4772,0.5228,0.5905,1233.7430,2089.3060,4.612,1.556,10.029,1.897,2.674,5.724,16.262,16.766,16.491,26.654,73.906,76.318,63.326,78.623,68.860,46.613,99.770,13.200,2.154,8.426,5.789,6.075,11.713,12.670,10.572,6.938,16.585,43.433,33.585,39.304,49.990,44.044,48.765,109.228
02/20/2024 17:04:00,51349.60,51371.80,51299.90,51319.10,211.298,36.20,90.815,102.113,89083.383,7381,309.589,1.2855,0.5625,0.4375,0.9128,0.4772,0.5228,0.5905,1233.7430,2089.3060,107.167,7.609,11.985,12.926,16.221,23.756,33.491,14.902,11.605,4.916,53.473,73.547,65.287,55.302,75.373,86.655,56.839,0,0,0,0,0.220,1.237,3.019,3.199,3.190,11.827,51.407,35.991,47.856,58.795,112.388,74.276,50.088
02/20/2024 17:05:00,51319.00,51319.00,51241.00,51276.20,123.763,33.86,55.213,67.013,89148.035,5819,170.182,1.2929,0.5639,0.4361,0.9346,0.4831,0.5169,0.5905,1233.7430,2089.3060,5.423,12.654,2.852,5.384,7.071,9.039,23.888,9.695,14.664,15.143,44.745,62.494,73.322,64.560,71.019,56.388,78.073,4.744,0.896,5.816,2.841,6.921,12.610,12.051,16.490,14.484,19.753,39.227,36.630,59.735,206.362,53.046,75.356,90.711
02/20/2024 17:06:00,51276.20,51319.10,51256.30,51319.10,139.002,38.17,81.704,51.190,89138.896,6293,231.653,1.2929,0.5639,0.4361,0.9346,0.4831,0.5169,0.5905,1233.7430,2089.3060,3.107,5.009,6.650,5.865,4.572,10.301,26.554,18.024,15.856,9.591,72.245,76.096,68.231,110.304,56.978,77.531,60.917,4.886,3.024,6.408,6.377,7.002,15.433,15.638,11.850,11.890,22.268,44.832,41.342,52.090,164.276,61.659,50.562,39.680
02/20/2024 17:07:00,51319.10,51322.00,51280.00,51311.80,71.310,37.72,39.427,31.639,89156.075,3446,96.492,1.2929,0.5639,0.4361,0.9346,0.4831,0.5169,0.7215,3418.9460,4738.5740,5.791,5.957,4.490,9.540,6.945,12.496,15.050,10.327,11.015,13.330,69.603,81.335,90.544,99.346,49.918,48.010,94.242,3.290,4.712,3.691,5.792,10.727,13.287,19.157,20.027,11.156,9.988,118.962,53.373,136.391,52.968,45.458,62.273,225.835
02/20/2024 17:08:00,51311.80,51344.40,51295.00,51305.90,107.716,37.34,53.057,51.243,89164.778,4717,177.979,1.2929,0.5639,0.4361,0.9346,0.4831,0.5169,0.7215,3418.9460,4738.5740,0.179,1.447,2.604,8.720,6.073,6.579,11.906,28.368,10.084,38.676,57.235,53.829,105.231,69.168,76.632,59.782,100.191,12.961,6.339,8.008,8.991,18.236,9.708,14.384,8.169,20.335,27.643,104.873,54.532,132.122,74.798,43.564,48.958,167.765
02/20/2024 17:09:00,51305.90,51357.80,51290.00,51290.20,93.630,36.28,43.971,48.807,89237.274,11,0.009,1.2929,0.5639,0.4361,0.9346,0.4831,0.5169,0.7215,3418.9460,4738.5740,1.719,6.363,7.687,16.623,3.473,13.667,10.699,4.137,13.072,22.189,55.976,58.522,79.460,68.801,70.981,71.369,60.479,11.115,4.048,8.942,86.029,3.249,6.793,27.385,7.790,9.233,3.940,71.367,129.394,83.100,39.044,71.086,201.627,35.178
