Datetime,Open,High,Low,Close,Volume,Rsi,Tkr Buy,Tkr Sell,Open Interest,Number Of Trades,Taker Buy Volume,TT LongShortRatio Positions 5m,TT LongAccount Ratio Positions 5m,TT ShortAccount Positions 5m,TT LongShortRatio Accounts 5m,TT LongAccount Accounts 5m,TT ShortAccount Accounts 5m,Buy Sell Ratio 5m,Buy Vol 5m,Sell Vol 5m,"Mkr plus 0,005","Mkr plus 0,01","Mkr plus 0,015","Mkr plus 0,020","Mkr plus 0,025","Mkr plus 0,030","Mkr plus 0,035","Mkr plus 0,040","Mkr plus 0,045","Mkr plus 0,050","Mkr plus 0,075","Mkr plus 0,1","Mkr plus 0,125","Mkr plus 0,150","Mkr plus 0,175","Mkr plus 0,200","Mkr plus 0,225","Mkr minus 0,005","Mkr minus 0,01","Mkr minus 0,015","Mkr minus 0,020","Mkr minus 0,025","Mkr minus 0,030","Mkr minus 0,035","Mkr minus 0,040","Mkr minus 0,045","Mkr minus 0,050","Mkr minus 0,075","Mkr minus 0,1","Mkr minus 0,125","Mkr minus 0,150","Mkr minus 0,175","Mkr minus 0,200","Mkr minus 0,225"
02/20/2024 17:00:00,2898.91,2898.91,2885.00,2888.06,11412.570,21.02,719.376,1271.193,885767.121,361,346.770,1.5615,0.6096,0.3904,1.6267,0.6193,0.3807,0.7678,9479.5770,12346.0860,0,0,0,0,0,0,0,0,0,0,3.867,77.160,293.292,300.301,315.487,274.912,435.784,874.447,8.158,66.687,104.209,71.963,23.292,52.307,56.398,7.489,316.217,317.702,367.743,536.716,582.774,501.111,744.349,661.705
02/20/2024 17:01:00,2888.04,2901.86,2888.00,2901.19,5911.804,40.66,3009.253,2036.767,885269.976,12940,9587.687,1.5615,0.6096,0.3904,1.6267,0.6193,0.3807,0.7678,9479.5770,12346.0860,25.860,6.076,32.035,74.910,64.797,255.614,101.206,69.456,100.900,132.452,629.198,456.409,1173.877,461.265,457.065,636.629,832.507,12.212,38.317,24.268,53.089,74.491,38.818,41.609,52.763,132.346,126.987,631.000,314.986,552.047,252.301,460.912,725.554,503.547
02/20/2024 17:02:00,2901.19,2907.65,2899.60,2907.61,2874.443,47.53,1595.809,1208.420,886110.163,8551,4604.675,1.5585,0.6091,0.3909,1.6267,0.6193,0.3807,0.7678,9479.5770,12346.0860,50.620,36.447,57.318,63.057,76.411,86.272,64.482,386.524,156.492,201.049,520.299,774.748,687.027,375.888,1003.324,877.349,775.683,6.904,37.563,11.948,13.304,77.927,81.738,112.069,166.116,95.124,97.420,520.983,442.299,300.140,714.654,660.329,380.082,767.336
02/20/2024 17:03:00,2907.61,2909.28,2904.69,2909.09,2058.355,49.00,1238.757,742.645,886385.959,6255,3563.889,1.5585,0.6091,0.3909,1.6267,0.6193,0.3807,0.6448,16804.0050,26060.6750,8.643,18.261,64.483,171.958,52.609,68.030,220.491,100.226,165.852,96.731,545.884,752.348,927.666,470.259,557.458,571.103,1015.153,77.503,56.957,45.918,146.390,101.863,68.695,257.086,73.642,279.709,180.032,538.432,509.634,302.022,361.478,467.058,541.287,611.060
02/20/2024 17:04:00,2909.09,2909.88,2904.64,2904.66,1348.287,44.95,494.396,808.714,886592.446,5301,1718.858,1.5585,0.6091,0.3909,1.6267,0.6193,0.3807,0.6448,16804.0050,26060.6750,127.101,32.734,75.532,110.242,113.072,94.357,141.256,76.895,89.192,112.338,633.174,475.494,251.078,1259.189,449.035,683.821,1214.764,0,15.897,19.025,77.644,38.836,160.711,112.635,122.722,110.103,139.614,450.950,488.224,1305.654,451.206,625.728,786.787,1025.216
02/20/2024 17:05:00,2904.65,2904.65,2900.31,2902.72,1387.670,43.27,842.865,496.352,886606.098,3,0.135,1.5619,0.6097,0.3903,1.6267,0.6193,0.3807,0.6448,16804.0050,26060.6750,87.080,56.890,45.016,59.854,120.001,138.641,85.748,158.789,103.477,100.850,589.812,393.978,857.839,396.005,483.675,777.901,1678.218,0,26.483,44.066,47.832,91.105,50.990,106.833,110.592,517.512,116.186,795.959,447.827,670.754,204.732,657.035,493.192,589.915
02/20/2024 17:06:00,2902.69,2906.80,2902.12,2906.17,1067.949,47.07,492.489,509.733,886844.692,4778,1831.824,1.5619,0.6097,0.3903,1.6267,0.6193,0.3807,1.0658,25385.1370,23816.8280,112.913,28.318,108.230,45.224,85.165,1007.459,85.375,116.430,105.384,122.155,673.271,1245.703,492.879,630.180,502.696,673.143,954.646,17.792,39.348,5.625,61.008,63.437,86.502,134.976,99.761,108.655,135.577,555.605,295.845,493.334,375.193,1339.019,317.227,1120.105
02/20/2024 17:07:00,2906.16,2908.08,2902.92,2907.62,1078.088,48.63,562.190,419.919,887144.537,4396,1740.296,1.5619,0.6097,0.3903,1.6302,0.6198,0.3802,1.0658,25385.1370,23816.8280,0,20.396,4.048,48.911,14.863,18.484,43.608,25.498,1115.671,113.674,529.411,691.423,615.847,268.077,508.065,986.189,1000.541,251.045,33.406,91.762,24.623,130.526,119.342,149.166,192.166,262.996,39.730,414.911,307.611,262.612,360.633,352.937,739.425,1151.989
02/20/2024 17:08:00,2907.62,2909.88,2904.68,2906.28,818.590,47.24,409.822,321.814,887944.433,4071,2382.058,1.5619,0.6097,0.3903,1.6302,0.6198,0.3802,1.0658,25385.1370,23816.8280,74.012,47.921,49.846,43.316,73.442,130.835,68.100,203.090,116.889,83.018,467.258,360.389,569.640,815.427,619.954,759.575,914.249,0,19.910,39.111,97.836,98.405,38.669,110.697,71.672,126.366,158.137,900.551,397.009,532.689,554.107,1206.798,416.931,647.479
02/20/2024 17:09:00,2906.29,2910.00,2905.26,2905.62,1007.524,46.54,538.883,411.618,888139.312,3633,1279.953,1.5619,0.6097,0.3903,1.6302,0.6198,0.3802,1.0658,25385.1370,23816.8280,1.541,3.465,12.635,15.378,58.639,83.975,64.347,75.364,74.117,183.023,448.066,214.215,402.998,257.242,762.116,814.861,1119.836,91.392,70.415,247.722,29.536,131.651,118.782,301.394,164.875,249.883,289.282,482.132,445.405,914.227,793.791,416.102,728.894,988.838
02/20/2024 17:10:00,2905.62,2911.17,2905.28,2909.85,762.807,51.52,424.506,302.881,887960.140,3885,1733.640,1.5619,0.6097,0.3903,1.6302,0.6198,0.3802,1.0658,25385.1370,23816.8280,66.383,26.271,51.428,180.293,107.114,106.595,81.019,153.827,142.534,214.052,552.067,360.087,568.286,528.670,1078.787,703.525,940.940,3.003,10.298,63.959,51.688,22.108,155.685,44.310,131.136,107.379,83.437,375.234,646.691,295.908,744.115,510.802,813.718,685.267
02/20/2024 17:11:00,2909.85,2913.61,2909.43,2910.01,852.057,51.70,471.063,353.348,888324.139,4605,1629.478,1.5619,0.6097,0.3903,1.6281,0.6195,0.3805,1.0658,25385.1370,23816.8280,4.018,17.215,102.794,55.991,58.824,95.653,189.732,52.732,72.307,153.888,614.679,6041.095,359.790,336.444,717.510,474.060,924.975,66.056,62.568,32.788,204.041,101.285,63.931,161.605,351.620,78.548,165.303,614.482,448.027,431.481,1046.656,446.082,955.065,586.696
02/20/2024 17:12:00,2910.01,2913.64,2909.19,2909.87,847.612,51.52,329.115,493.939,888159.190,4069,1057.378,1.5579,0.6091,0.3909,1.6281,0.6195,0.3805,1.0658,25385.1370,23816.8280,136.837,36.653,88.661,97.578,118.002,97.244,115.977,615.560,97.302,159.133,532.645,391.994,409.492,297.302,978.265,507.466,1240.217,16.894,14.917,38.841,57.134,76.222,95.182,131.812,94.426,55.706,66.107,627.740,528.247,563.658,850.099,444.629,907.283,634.062
02/20/2024 17:13:00,2909.86,2913.30,2909.43,2911.04,830.490,53.02,209.301,163.956,887789.447,2405,1119.645,1.5579,0.6091,0.3909,1.6281,0.6195,0.3805,1.3175,10942.1980,8305.5620,53.901,51.060,92.056,31.125,50.060,198.434,1087.875,92.613,67.711,338.645,566.204,306.843,463.879,348.755,701.647,1017.896,769.985,26.973,11.821,91.367,109.719,147.535,67.443,120.565,147.431,164.847,63.409,657.413,536.509,640.119,921.830,852.460,666.367,535.650
02/20/2024 17:14:00,2911.04,2913.88,2910.73,2912.73,1147.854,55.17,595.788,412.147,887244.244,11,1.464,1.5579,0.6091,0.3909,1.6212,0.6185,0.3815,1.3175,10942.1980,8305.5620,146.819,129.527,159.216,120.534,165.610,181.722,155.966,54.435,168.742,253.132,605.404,495.162,475.512,994.348,638.628,441.772,1006.200,11.630,14.520,12.458,23.462,84.152,44.726,59.492,144.889,133.115,123.351,597.945,497.772,587.098,766.637,636.566,713.332,554.377
02/20/2024 17:15:00,2912.73,2913.95,2907.90,2909.39,1530.891,50.26,668.294,631.980,887413.357,4944,2206.396,1.5553,0.6087,0.3913,1.6212,0.6185,0.3815,1.3175,10942.1980,8305.5620,0,0,53.641,21.087,61.724,66.796,107.847,170.364,143.724,74.548,411.086,508.104,659.662,685.764,644.577,907.418,760.214,86.367,27.416,51.103,66.001,133.392,100.529,180.106,232.101,355.514,195.913,620.989,306.156,380.291,427.342,785.834,835.440,680.098
02/20/2024 17:16:00,2909.39,2912.32,2907.36,2912.32,722.459,54.12,291.320,367.258,886970.766,3622,793.865,1.5553,0.6087,0.3913,1.6212,0.6185,0.3815,1.2082,7931.7390,6565.0340,495.417,119.525,175.673,70.513,331.638,185.649,76.800,109.234,162.059,264.148,309.967,739.565,879.876,457.092,1237.719,748.750,655.207,0,0,0,0,0.260,1.197,7.445,117.270,69.374,83.964,542.277,843.086,286.530,327.368,428.757,484.403,902.232
02/20/2024 17:17:00,2912.30,2914.50,2909.14,2909.85,803.587,50.56,452.617,339.923,886561.399,4449,1957.588,1.5553,0.6087,0.3913,1.6212,0.6185,0.3815,1.2082,7931.7390,6565.0340,76.493,15.357,44.923,42.457,133.492,143.224,74.093,83.407,178.024,53.615,501.130,392.761,420.948,396.380,1017.617,427.064,1117.624,99.337,22.422,47.602,101.139,91.872,87.279,195.356,98.643,214.205,50.832,646.356,285.202,530.249,843.647,526.394,620.177,799.503
02/20/2024 17:18:00,2909.85,2914.39,2909.64,2914.14,1042.022,55.98,500.944,241.193,886158.814,4,0.482,1.5553,0.6087,0.3913,1.6212,0.6185,0.3815,1.2082,7931.7390,6565.0340,0,0,15.593,51.465,2.011,50.171,205.288,108.939,120.954,206.085,493.135,677.284,1151.689,511.670,428.663,925.615,1217.399,231.003,82.416,71.010,152.830,197.363,83.794,315.084,409.709,218.734,67.392,645.541,242.056,421.266,196.374,830.118,671.627,536.624
